access_group,model,font,rows,empty_predictions,exact_match_rate,hallucination_rate,cer,wer,micro_cer,micro_wer,char_fscore,total_cost_usd,avg_latency_sec
arabic-specialized,Qari-OCR v0.3,Naksh,1424,0,0.5287921348314607,0.0042134831460674,0.0306091281545997,0.0819986534972389,0.0289234126217454,0.0763601654470251,0.9821009821802816,0.0,0.6552198247963124
arabic-specialized,Qari-OCR v0.3,Andalus,1424,0,0.0582865168539325,0.0344101123595505,0.2146127436886327,0.4256417799379926,0.1980088872725619,0.4040725421571747,0.8866673402213159,0.0,1.0276847858442348
arabic-specialized,Qari-OCR v0.3,Thuluth,1424,0,0.0484550561797752,0.0084269662921348,0.1230277248810124,0.3890394097349636,0.1201372867679649,0.3736557429207763,0.915435760417192,0.0,0.7590708046146993
arabic-specialized,Qari-OCR v0.3,Traditional Arabic,1424,3,0.4606741573033708,0.0077247191011235,0.0544446684224708,0.1243271752339109,0.0391630962257503,0.094750238625517,0.9756978134801544,0.0,0.6557545519611808
arabic-specialized,Qari-OCR v0.3,SimplifiedArabic,1424,1,0.4887640449438202,0.0147471910112359,0.0651357747362292,0.1268085404389679,0.0701549022059074,0.1199490932230353,0.9616016301352324,0.0,0.7022795335630353
arabic-specialized,Qari-OCR v0.3,Tahoma,1424,4,0.4754213483146067,0.0252808988764044,0.1124342157286188,0.1659181555026228,0.1257287677148799,0.176391982182628,0.9314628506465196,0.0,0.7565784019030882
arabic-specialized,Qari-OCR v0.3,TimesNewRoman,1424,2,0.5540730337078652,0.009129213483146,0.0424920113136969,0.0938438780733406,0.0447545771726653,0.0884505249761374,0.9741467644045086,0.0,0.6857736294858912
arabic-specialized,AIN 7B,Akbaar,1424,0,0.7844101123595506,0.0,0.005319041257574,0.0309569021630823,0.0052732665840824,0.0299713649379573,0.995823270350902,0.0,0.9966186770562376
arabic-specialized,AIN 7B,Naksh,1424,0,0.738061797752809,0.0,0.0064755900534726,0.0446288436408872,0.0059665193031105,0.0460069996818326,0.9961012868599138,0.0,0.9943851205740082
arabic-specialized,AIN 7B,Andalus,1424,0,0.5814606741573034,0.0,0.0110802608583552,0.0703367504664811,0.0107283699469263,0.071587655106586,0.9920571701677324,0.0,1.0163807755105951
arabic-specialized,AIN 7B,Thuluth,1424,0,0.3806179775280899,0.0,0.0237281526476523,0.1348276664229623,0.0219113318407564,0.1346484250715876,0.9839417889850708,0.0,1.0016388479578362
arabic-specialized,AIN 7B,Traditional Arabic,1424,0,0.7914325842696629,0.0,0.0048831181415045,0.025561845717101,0.0048414042345239,0.0256442888959592,0.996293095606295,0.0,1.0126776318536717
arabic-specialized,AIN 7B,SimplifiedArabic,1424,0,0.8560393258426966,0.0,0.0030697902584462,0.0164952157898432,0.0031253196349626,0.0167356029271396,0.9976637771777748,0.0,0.9760419339611288
arabic-specialized,AIN 7B,Tahoma,1424,0,0.8560393258426966,0.0,0.0036780622802837,0.0192056420483789,0.0035571819845211,0.018771874005727,0.9973445540613538,0.0,0.932020852237605
arabic-specialized,AIN 7B,TimesNewRoman,1424,0,0.875,0.0,0.0027056703061098,0.0141210367069639,0.0026479980907138,0.0143175310213172,0.9980391153852712,0.0,0.9335609193933144
